0008E3, "Cisco Systems, Inc.", "NETWORK_VENDOR", "5"
000911, "Cisco Systems, Inc.", "NETWORK_VENDOR", "5"
000912, "Cisco Systems, Inc.", "NETWORK_VENDOR", "5"
000943, "Cisco Systems, Inc.", "NETWORK_VENDOR", "5"
000944, "Cisco Systems, Inc.", "NETWORK_VENDOR", "5"
00097B, "Cisco Systems, Inc.", "NETWORK_VENDOR", "5"
00097C, "Cisco Systems, Inc.", "NETWORK_VENDOR", "5"
00097E, "IMI Technology CO., Ltd.", "SCADA_VENDOR", "2"
000991, "GE Fanuc Automation Manufacturing, Inc.", "SCADA_VENDOR", "3"
0009B6, "Cisco Systems, Inc.", "NETWORK_VENDOR", "5"
0009B7, "Cisco Systems, Inc.", "NETWORK_VENDOR", "5"
0009E8, "Cisco Systems, Inc.", "NETWORK_VENDOR", "5"
0009E9, "Cisco Systems, Inc.", "NETWORK_VENDOR", "5"
0009F5, "Emerson Network Power Co., Ltd.", "SCADA_VENDOR", "3"
000A41, "Cisco Systems, Inc.", "NETWORK_VENDOR", "5"
000A42, "Cisco Systems, Inc.", "NETWORK_VENDOR", "5"
000A44, "Avery Dennison Deutschland GmbH", "SCADA_VENDOR", "2"
000A66, "Mitsubishi Electric System & Service Co., Ltd.", "SCADA_VENDOR", "2"
000A8A, "Cisco Systems, Inc.", "NETWORK_VENDOR", "5"
000A8B, "Cisco Systems, Inc.", "NETWORK_VENDOR", "5"
000AA9, "Brooks Automation GmbH", "SCADA_VENDOR", "3"
000AB7, "Cisco Systems, Inc.", "NETWORK_VENDOR", "5"
000AB8, "Cisco Systems, Inc.", "NETWORK_VENDOR", "5"
000ADC, "RuggedCom Inc.", "NETWORK_VENDOR", "3"
000AED, "Harting Systems GmbH & Co KG", "SCADA_VENDOR", "2"
000AF3, "Cisco Systems, Inc.", "NETWORK_VENDOR", "5"
000AF4, "Cisco Systems, Inc.", "NETWORK_VENDOR", "5"
000B17, "MKS Instruments", "SCADA_VENDOR", "3"
000B29, "LS(LG) Industrial Systems Co., Ltd", "SCADA_VENDOR", "3"
